title,description,address,locality,region,latitude,longitude,price,currency,propertyType,postedBy,sellerName,url
2 BHK Apartment for Sale in Bachupally Hyderabad,,,Bachupally,Hyderabad,17.551816,78.3860695,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1388-Sq-ft-Multistorey-Apartment-FOR-Sale-Bachupally-in-Hyderabad&id=4d423738313031323739
3 BHK Apartment for Sale in Bachupally Hyderabad,,,Bachupally,Hyderabad,17.551816,78.3860695,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1625-Sq-ft-Multistorey-Apartment-FOR-Sale-Bachupally-in-Hyderabad&id=4d423830333336333139
4 BHK  House for Sale in Nagaram Hyderabad,,,Nagaram,Hyderabad,17.4838610299951,78.6084083107014,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/4-BHK-2970-Sq-ft-Residential-House-FOR-Sale-Nagaram-in-Hyderabad&id=4d423638323338363737
6 BHK  House for Sale in AG Colony Erragadda Hyderabad,,,AG Colony Erragadda,Hyderabad,17.453990936279297,78.4312515258789,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/6-BHK-140-Sq-yrd-Residential-House-FOR-Sale-AG-Colony-Erragadda-in-Hyderabad&id=4d423830303238343235
4 BHK Villa for Sale in BHAVNA S VENKY ESTATES Hyderabad,,,,Hyderabad,,,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/4-BHK-150-Sq-yrd-Villa-FOR-Sale-in-Hyderabad&id=4d423636343736333439
3 BHK Apartment for Sale in Attapur Hyderabad,,,Attapur,Hyderabad,17.3493880394452,78.4130563068722,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1604-Sq-ft-Multistorey-Apartment-FOR-Sale-Attapur-in-Hyderabad&id=4d423731323538333533
"3 BHK Apartment for Sale in Boduppal, NH 2 2 Hyderabad",,,Boduppal,Hyderabad,17.4117293,78.5857782,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1645-Sq-ft-Multistorey-Apartment-FOR-Sale-Boduppal-in-Hyderabad&id=4d423634353332343235
3 BHK Apartment for Sale in Suchitra Road Hyderabad,,,Suchitra Circle,Hyderabad,17.509233619284352,78.46999431534256,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1740-Sq-ft-Multistorey-Apartment-FOR-Sale-Suchitra-Circle-in-Hyderabad&id=4d423738333735383335
3 BHK Apartment for Sale in Gopanpally Hyderabad,,,Gopanpally,Hyderabad,17.443563,78.3397746,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1760-Sq-ft-Multistorey-Apartment-FOR-Sale-Gopanpally-in-Hyderabad&id=4d423733393133323731
2 BHK Apartment for Sale in Kondapur Hyderabad,,,Kondapur,Hyderabad,17.4661387919325,78.3574087383959,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1490-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondapur-in-Hyderabad&id=4d423738343630373635
3 BHK Apartment for Sale in Kondapur Hyderabad,,,Kondapur,Hyderabad,17.462192,78.3685357,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondapur-in-Hyderabad&id=4d423639373531333533
"3 BHK Apartment for Sale in Saroornagar, NH 9 Hyderabad",,,Saroornagar,Hyderabad,17.353714,78.530972,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1755-Sq-ft-Multistorey-Apartment-FOR-Sale-Saroornagar-in-Hyderabad&id=4d423730303831333439
3 BHK Apartment for Sale in Durga Nagar Colony Karmanghat Hyderabad,,,Durga Nagar Colony,Hyderabad,17.342241287231445,78.53656768798828,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Sale-Durga-Nagar-Colony-in-Hyderabad&id=4d423739353034383231
3 BHK Apartment for Sale in Gowdavalli Hyderabad,,,,Hyderabad,17.59806664121737,78.46760103068259,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1740-Sq-ft-Multistorey-Apartment-FOR-Sale-Gowdavalli-in-Hyderabad&id=4d423637343336343433
3 BHK Apartment for Sale in Nagole Hyderabad,,,Nagole,Hyderabad,17.3647205,78.5665472,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Nagole-in-Hyderabad&id=4d423731383937383235
3 BHK  House for Sale in Bandlaguda Colony Hyderabad,,,Bandlaguda Colony,Hyderabad,17.503820419311523,78.61920928955078,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-2800-Sq-ft-Residential-House-FOR-Sale-Bandlaguda-Colony-in-Hyderabad&id=4d423732383734363531
3 BHK Apartment for Sale in Chanda Nagar Hyderabad,,,,Hyderabad,17.495596,78.324149,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1610-Sq-ft-Multistorey-Apartment-FOR-Sale-Chanda-Nagar-in-Hyderabad&id=4d423739343832303437
3 BHK Apartment for Sale in AS Rao Nagar Hyderabad,,,AS Rao Nagar,Hyderabad,17.397232055664062,78.59650421142578,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Sale-AS-Rao-Nagar-in-Hyderabad&id=4d423731303334323431
3 BHK  House for Sale in Prashanth Nagar Langar Houz Hyderabad,,,Prashanth Nagar Langar Houz,Hyderabad,17.37665282,78.41860325,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-200-Sq-ft-Residential-House-FOR-Sale-Prashanth-Nagar-Langar-Houz-in-Hyderabad&id=4d423730303034353439
3 BHK  House for Sale in Rajendranagar Mandal Hyderabad,,,Rajendranagar Mandal,Hyderabad,17.308095932006836,78.39665222167969,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-141-Sq-yrd-Residential-House-FOR-Sale-Rajendra-Nagar-in-Hyderabad&id=4d423637363739343537
2 BHK Apartment for Sale in Moti Nagar Erragadda Hyderabad,,,Moti Nagar,Hyderabad,17.4464575,78.4185155,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1177-Sq-ft-Multistorey-Apartment-FOR-Sale-Moti-Nagar-in-Hyderabad&id=4d423739313837353035
"2 BHK Apartment for Sale in Miyapur, NH 9 Hyderabad",,,Miyapur,Hyderabad,17.5210925,78.3442965,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1330-Sq-ft-Multistorey-Apartment-FOR-Sale-Miyapur-in-Hyderabad&id=4d423830353336353939
2 BHK Apartment for Sale in Hitech City Hyderabad,,,Hitech City,Hyderabad,17.467921,78.40813,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-Hitech-City-in-Hyderabad&id=4d423731383538343531
3 BHK Apartment for Sale in Patancheruvu Hyderabad,,,Patancheru,Hyderabad,17.513124465942383,78.25969696044922,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1585-Sq-ft-Multistorey-Apartment-FOR-Sale-Patancheru-in-Hyderabad&id=4d423736303033303937
3 BHK Apartment for Sale in Sri Ram Nagar Kondapur Hyderabad,,,Sri Ram Nagar,Hyderabad,17.4677754,78.362754,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1570-Sq-ft-Multistorey-Apartment-FOR-Sale-Sri-Ram-Nagar-in-Hyderabad&id=4d423638303931303431
2 BHK Apartment for Sale in Bachupally Hyderabad,,,Bachupally,Hyderabad,17.551816,78.3860695,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1110-Sq-ft-Multistorey-Apartment-FOR-Sale-Bachupally-in-Hyderabad&id=4d423739343731363535
3 BHK Villa for Sale in Dammaiguda Hyderabad,,,Dammaiguda,Hyderabad,17.50124740600586,78.59972381591797,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Villa-FOR-Sale-Dammaiguda-in-Hyderabad&id=4d423539393530303835
"3 BHK Apartment for Sale in Vittal Rao Nagar, Hitech City Hyderabad",,,Vittal Rao Nagar,Hyderabad,17.4427521934261,78.3867618651035,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1572-Sq-ft-Multistorey-Apartment-FOR-Sale-Vittal-Rao-Nagar-in-Hyderabad&id=4d423635373531383235
4 BHK  House for Sale in BN Reddy Nagar Hyderabad,,,,Hyderabad,17.310728073120117,78.55907440185547,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/4-BHK-350-Sq-ft-Residential-House-FOR-Sale-BN-Reddy-Nagar-in-Hyderabad&id=4d423730313132353137
3 BHK Apartment for Sale in Suchitra Road Hyderabad,,,Suchitra Circle,Hyderabad,17.5027207,78.4703634,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1748-Sq-ft-Multistorey-Apartment-FOR-Sale-Suchitra-Circle-in-Hyderabad&id=4d423731393738333331
3 BHK  House for Sale in Kapra Hyderabad,,,Kapra,Hyderabad,17.4895887084433,78.5826508140709,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-139-Sq-yrd-Residential-House-FOR-Sale-Kapra-in-Hyderabad&id=4d423830333832303333
"2 BHK  House for Sale in Mahalakshmi colony , chengicherla, Hyderabad",,,,Hyderabad,,,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/2-BHK-126-Sq-yrd-Residential-House-FOR-Sale-in-Hyderabad&id=4d423738353032313633
2 BHK Builder Floor for Sale in Nagaram Hyderabad,,,Nagaram,Hyderabad,16.004962921142578,80.72549438476562,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-3600-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Nagaram-in-Hyderabad&id=4d423634343131303931
6 BHK  House for Sale in Satya Nagar Hayathnagar Khalsa Hyderabad,,,Satya Nagar,Hyderabad,17.397197723388672,78.59651947021484,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/6-BHK-2400-Sq-ft-Residential-House-FOR-Sale-Satya-Nagar-in-Hyderabad&id=4d423634353837333937
4 BHK  House for Sale in Borabanda Hyderabad,,,Borabanda,Hyderabad,17.457763671875,78.45244598388672,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/4-BHK-127-Sq-ft-Residential-House-FOR-Sale-Borabanda-in-Hyderabad&id=4d423536303432383931
3 BHK Builder Floor for Sale in Bagh Amberpet Hyderabad,,,Bagh Amberpet,Hyderabad,17.40013885498047,78.59601593017578,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Bagh-Amberpet-in-Hyderabad&id=4d423734343436343637
"3 BHK Apartment for Sale in Boduppal, NH 2 2 Hyderabad",,,Boduppal,Hyderabad,17.419488,78.5856329,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1640-Sq-ft-Multistorey-Apartment-FOR-Sale-Boduppal-in-Hyderabad&id=4d423635313737383537
3 BHK Apartment for Sale in Jeedimetla Main Road Hyderabad,,,Jeedimetla Main Road,Hyderabad,17.5197995,78.4580485,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1830-Sq-ft-Multistorey-Apartment-FOR-Sale-Jeedimetla-Main-Road-in-Hyderabad&id=4d423737313430373833
"3 BHK Apartment for Sale in Infocitys Inspire, Gachibowli, Hyderabad,Infocitys Inspire, Gachibowli, Hyderabad Hyderabad",,,,Hyderabad,17.4752583,78.3336085,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1610-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Hyderabad&id=4d423733393235383939
3 BHK Apartment for Sale in Gachibowli Hyderabad,,,Gachibowli,Hyderabad,17.443563,78.3397746,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1198-Sq-ft-Multistorey-Apartment-FOR-Sale-Gachibowli-in-Hyderabad&id=4d423731393135363937
"3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad",,,Narsingi,Hyderabad,17.395367978138943,78.3578086835387,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1760-Sq-ft-Multistorey-Apartment-FOR-Sale-Narsingi-in-Hyderabad&id=4d423738303039383335
2 BHK  House for Sale in Hyderabad,,,,Hyderabad,,,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/2-BHK-1600-Sq-ft-Residential-House-FOR-Sale-in-Hyderabad&id=4d423732383935373039
"3 BHK Apartment for Sale in Malakpet, NH 9 Hyderabad",,,Malakpet,Hyderabad,17.39675192,78.52022698,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Sale-Malakpet-in-Hyderabad&id=4d423733343832353031
3 BHK Apartment for Sale in Bowrampet Road Hyderabad,,,Bowrampet Road,Hyderabad,17.551816,78.3860695,,,Apartment,,,https://www.magicbricks.com/propertyDetails/3-BHK-1554-Sq-ft-Multistorey-Apartment-FOR-Sale-Bowrampet-Road-in-Hyderabad&id=4d423731313438343637
3 BHK  House for Sale in Narapally SBI Bank Hyderabad,,,,Hyderabad,,,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/3-BHK-149-Sq-yrd-Residential-House-FOR-Sale-in-Hyderabad&id=4d423638313838323039
"2 BHK Apartment for Sale in Peerzadiguda, NH 2 2 Hyderabad",,,Peerzadiguda,Hyderabad,17.4027678988506,78.6284890189194,,,Apartment,,,https://www.magicbricks.com/propertyDetails/2-BHK-1226-Sq-ft-Multistorey-Apartment-FOR-Sale-Peerzadiguda-in-Hyderabad&id=4d423733313932313035
4 BHK  House for Sale in Bandlaguda Nagole Hyderabad,,,Bandlaguda Nagole,Hyderabad,17.3698473963932,78.5732556644916,,,SingleFamilyResidence,,,https://www.magicbricks.com/propertyDetails/4-BHK-1250-Sq-ft-Residential-House-FOR-Sale-Bandlaguda-Nagole-in-Hyderabad&id=4d423636313633393937
